item,item_ine_id,item_id,item_update,region_name,region_code,is_cronicas,media_associated,media_associated_name,is_featured,url,is_municipios_link,url_municipios
Caspe,50074,AR0016,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/caspe/?utm_campaign=cerca-v1,FALSE,
Cella,44076,AR0017,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/cella/?utm_campaign=cerca-v1,FALSE,
Cuarte de Huerva,50089,AR0018,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/cuarte-de-huerva/?utm_campaign=cerca-v1,FALSE,
Cuencas Mineras,34_02_44_05,AR0019,14/07/2025,Aragón,AR,TRUE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/cuencas-mineras/?utm_campaign=cerca-v1,FALSE,
Daroca,50094,AR0020,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/daroca/?utm_campaign=cerca-v1,FALSE,
Ejea y sus Pueblos,50095,AR0021,14/07/2025,Aragón,AR,TRUE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/ejea-pueblos/?utm_campaign=cerca-v1,FALSE,
Épila,50099,AR0022,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/epila/?utm_campaign=cerca-v1,FALSE,
Figueruelas,50107,AR0023,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/figueruelas/?utm_campaign=cerca-v1,FALSE,
Fraga,22112,AR0024,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/fraga/?utm_campaign=cerca-v1,FALSE,
Fuendetodos,50114,AR0025,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/fuendetodos/?utm_campaign=cerca-v1,FALSE,
Gallur,50118,AR0026,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/gallur/?utm_campaign=cerca-v1,FALSE,
Híjar,44122,AR0027,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/hijar/?utm_campaign=cerca-v1,FALSE,
